아이디,이메일,학교명
1,sungshin.ac.kr,성신여자대학교
2,kookmin.ac.kr,국민대학교
3,dongduk.ac.kr,동덕여자대학교
7,snu.ac.kr,서울대학교
8,yonsei.ac.kr,연세대학교
9,korea.ac.kr,고려대학교
10,hanyang.ac.kr,한양대학교
11,ewha.ac.kr,이화여자대학교
12,cau.ac.kr,중앙대학교
13,sogang.ac.kr,서강대학교
14,konkuk.ac.kr,건국대학교
15,hongik.ac.kr,홍익대학교
1012,seoultech.ac.kr,서울과학기술대학교
1013,snue.ac.kr,서울교육대학교
1014,kaay.ac.kr,육군사관학교
1015,kaist.ac.kr,한국과학기술원
1016,karts.ac.kr,한국예술종합학교
1017,knsu.ac.kr,한국체육대학교
1018,knou.ac.kr,한국방송통신대학교
1019,uos.ac.kr,서울시립대학교
1020,catholic.ac.kr,가톨릭대학교
1021,ks.ac.kr,강서대학교
1022,mtu.ac.kr,감리교신학대학교
1023,kyonggi.ac.kr,경기대학교
1024,khu.ac.kr,경희대학교
1025,kw.ac.kr,광운대학교
1026,dankook.ac.kr,단국대학교
1027,duksung.ac.kr,덕성여자대학교
1028,mju.ac.kr,명지대학교
1029,bu.ac.kr,백석대학교
1030,syu.ac.kr,삼육대학교
1031,smu.ac.kr,상명대학교
1032,skuniv.ac.kr,서경대학교
1033,scu.ac.kr,서울기독대학교
1034,swu.ac.kr,서울여자대학교
1035,shtc.ac.kr,서울한영대학교
1036,skhu.ac.kr,성공회대학교
1037,skku.edu,성균관대학교
1038,sejong.ac.kr,세종대학교
1039,sookmyung.ac.kr,숙명여자대학교
1040,ssu.ac.kr,숭실대학교
1041,puts.ac.kr,장로회신학대학교
1042,jeongseok.ac.kr,정석대학교
1043,chongshin.ac.kr,총신대학교
1044,chugye.ac.kr,추계예술대학교
1045,bible.ac.kr,한국성서대학교
1046,hufs.ac.kr,한국외국어대학교
1047,hansung.ac.kr,한성대학교
1048,hs.ac.kr,한신대학교

